avg_quiz_score,attempts_per_topic,days_since_last_revision,quiz_score_variance,time_spent_per_question,mastered
0.79,4,19,0.03,10.0,0
0.27,4,26,0.16,32.2,0
0.27,8,23,0.09,44.3,0
0.57,2,27,0.06,70.5,0
0.46,9,25,0.06,48.3,0
0.27,7,10,0.09,61.5,0
0.79,4,4,0.11,22.2,1
0.33,6,20,0.15,68.3,0
0.48,9,16,0.09,61.1,0
0.68,3,27,0.0,63.4,0
0.6,5,3,0.13,38.7,0
0.33,9,0,0.08,34.8,0
0.46,8,27,0.08,43.0,0
0.37,8,14,0.09,48.9,0
0.56,4,28,0.16,35.9,0
0.65,5,15,0.01,40.2,0
0.41,9,18,0.14,56.8,0
0.66,8,3,0.09,50.4,0
0.22,8,11,0.11,52.1,0
0.79,1,0,0.09,23.0,1
0.68,5,11,0.1,43.9,0
0.82,7,23,0.04,29.8,0
0.62,9,21,0.07,26.3,0
0.31,6,16,0.14,36.1,0
0.39,6,0,0.17,54.7,0
0.25,4,3,0.09,54.8,0
0.13,3,0,0.21,66.0,0
0.42,6,24,0.16,14.1,0
0.58,7,13,0.07,39.3,0
0.46,7,12,0.14,21.6,0
0.71,3,13,0.03,41.5,1
0.4,4,15,0.0,36.6,0
0.25,6,23,0.17,22.4,0
0.48,5,5,0.2,40.2,0
0.21,2,28,0.12,59.9,0
0.25,4,6,0.13,34.6,0
0.59,9,6,0.08,38.5,0
0.67,4,17,0.15,34.6,0
0.49,8,14,0.01,43.3,0
0.31,9,17,0.09,64.3,0
0.31,1,3,0.19,46.4,0
0.63,8,23,0.03,34.4,0
0.3,4,28,0.19,33.5,0
0.29,8,23,0.12,55.1,0
0.36,7,28,0.09,44.2,0
0.22,3,13,0.14,67.1,0
0.49,9,25,0.07,46.9,0
0.61,8,0,0.16,25.2,0
0.45,5,19,0.12,43.1,0
0.63,6,25,0.12,46.2,0
0.43,5,24,0.15,46.0,0
0.82,4,17,0.09,28.6,0
0.59,8,25,0.12,40.6,0
0.57,8,18,0.11,44.1,0
0.4,8,24,0.18,24.2,0
0.79,2,15,0.0,18.7,0
0.56,4,24,0.05,59.7,0
0.65,9,11,0.07,45.0,0
0.54,4,1,0.14,42.7,0
0.54,6,14,0.06,28.6,0
0.3,9,22,0.21,58.3,0
0.38,4,13,0.13,78.2,0
0.51,9,24,0.07,32.5,0
0.68,4,5,0.12,58.2,0
0.66,1,28,0.17,43.5,0
0.78,8,2,0.0,32.2,1
0.58,4,10,0.08,60.7,0
0.46,6,5,0.08,55.7,0
0.55,5,11,0.06,27.2,0
0.66,6,15,0.07,20.3,0
0.48,4,2,0.08,45.7,0
0.34,9,7,0.12,54.4,0
0.68,4,24,0.09,56.9,0
0.51,7,11,0.07,54.5,0
0.62,7,11,0.03,65.2,0
0.37,1,7,0.16,60.1,0
0.4,7,14,0.23,36.8,0
0.47,6,16,0.15,48.0,0
0.73,4,11,0.01,62.1,1
0.63,4,20,0.15,36.5,0
0.73,3,10,0.13,35.2,1
0.82,9,19,0.12,55.4,0
0.7,5,22,0.06,32.7,0
0.47,9,24,0.04,59.7,0
0.33,6,22,0.15,58.7,0
0.47,4,17,0.08,78.5,0
0.54,9,1,0.1,42.4,0
0.57,8,10,0.05,59.7,0
0.7,9,15,0.08,38.0,0
0.45,7,17,0.21,67.2,0
1.0,2,3,0.0,10.0,1
0.32,6,4,0.06,66.4,0
0.14,4,15,0.25,51.0,0
0.49,9,2,0.12,71.9,0
0.44,9,3,0.05,38.9,0
0.48,4,29,0.18,60.8,0
0.87,7,16,0.1,25.7,0
0.44,6,5,0.12,28.3,0
0.54,4,23,0.06,41.8,0
0.39,6,20,0.09,38.6,0
0.43,4,19,0.14,25.1,0
0.28,9,13,0.11,55.9,0
0.77,6,4,0.18,49.6,1
0.64,9,14,0.03,46.8,0
0.27,4,18,0.22,43.7,0
0.66,6,16,0.12,48.1,0
0.81,2,21,0.03,20.2,0
0.66,4,6,0.05,36.1,0
0.52,6,16,0.02,71.1,0
0.61,4,26,0.06,36.4,0
0.58,9,29,0.0,52.5,0
0.06,1,16,0.19,75.9,0
0.41,4,21,0.12,35.3,0
0.54,8,12,0.1,41.8,0
0.41,4,26,0.16,61.0,0
0.37,8,29,0.07,45.9,0
0.54,5,23,0.12,19.9,0
0.38,7,19,0.15,25.3,0
0.41,9,7,0.0,63.2,0
0.93,1,0,0.1,28.8,1
0.66,8,23,0.11,10.0,0
0.51,5,8,0.06,47.9,0
0.81,3,3,0.01,28.1,1
0.4,7,6,0.09,24.6,0
0.56,8,22,0.07,16.4,0
0.5,5,0,0.08,43.9,0
0.54,8,17,0.05,62.8,0
0.34,9,27,0.08,40.2,0
0.52,5,1,0.05,43.3,0
0.92,2,1,0.0,58.5,1
0.15,1,16,0.15,61.7,0
0.72,9,15,0.19,47.8,0
0.36,1,20,0.17,62.7,0
0.54,4,28,0.01,45.7,0
0.41,9,21,0.12,33.8,0
0.63,5,23,0.04,45.3,0
0.33,5,3,0.11,31.6,0
0.1,3,17,0.11,65.8,0
0.4,8,0,0.18,58.6,0
0.5,5,17,0.03,54.0,0
0.46,8,9,0.09,70.1,0
0.46,9,9,0.11,52.2,0
0.45,6,15,0.07,71.6,0
0.31,1,7,0.2,40.9,0
0.42,7,22,0.09,46.8,0
0.38,4,1,0.09,57.3,0
0.57,6,23,0.16,38.2,0
0.44,6,5,0.15,47.8,0
0.58,6,22,0.05,47.1,0
0.36,4,8,0.05,31.7,0
0.1,4,25,0.07,56.9,0
0.59,2,4,0.03,27.8,0
0.44,9,3,0.11,44.5,0
0.7,9,6,0.13,54.9,0
0.33,6,20,0.05,56.1,0
0.56,5,19,0.1,29.0,0
0.44,9,25,0.11,47.3,0
0.7,7,3,0.04,49.5,1
0.61,2,16,0.0,29.4,0
0.11,1,16,0.13,48.5,0
0.64,4,2,0.03,60.4,0
0.58,9,18,0.0,57.5,0
0.44,8,2,0.13,44.9,0
0.67,4,1,0.08,28.5,0
0.51,6,6,0.14,30.2,0
0.92,1,15,0.08,12.4,1
0.21,4,20,0.15,65.2,0
0.36,5,22,0.14,52.9,0
0.4,8,15,0.15,51.9,0
0.72,6,3,0.12,56.0,1
0.86,8,29,0.05,26.1,0
0.52,9,29,0.11,50.5,0
0.23,9,0,0.07,61.1,0
0.19,8,11,0.13,35.4,0
0.42,4,9,0.18,43.9,0
0.83,2,21,0.08,33.7,0
0.33,4,12,0.09,34.2,0
0.89,2,8,0.07,38.7,1
0.3,1,8,0.22,56.7,0
0.53,2,4,0.2,66.8,0
0.41,7,0,0.18,52.0,0
0.4,6,7,0.11,56.4,0
0.53,6,6,0.1,39.1,0
0.53,7,18,0.12,43.7,0
0.86,2,13,0.1,26.1,1
0.53,8,7,0.13,61.3,0
0.49,8,10,0.08,70.6,0
0.61,7,2,0.19,38.3,0
0.16,4,6,0.17,50.0,0
0.6,9,23,0.16,54.1,0
0.5,7,24,0.1,51.7,0
0.34,5,4,0.12,34.1,0
0.48,5,5,0.11,43.5,0
0.65,9,5,0.01,25.4,0
0.5,9,1,0.13,26.5,0
0.31,4,3,0.13,55.1,0
0.28,1,22,0.14,35.9,0
0.48,6,27,0.13,27.3,0
0.5,8,10,0.15,51.6,0
0.47,7,8,0.03,63.5,0
0.71,5,3,0.05,23.9,1
0.33,6,20,0.17,29.0,0
0.7,1,26,0.05,29.7,0
0.65,6,25,0.1,32.7,0
0.7,9,17,0.14,35.8,0
0.41,9,19,0.12,46.5,0
0.57,6,16,0.18,60.2,0
0.34,1,24,0.09,68.7,0
0.24,4,9,0.2,37.5,0
0.32,3,3,0.15,52.7,0
0.46,5,27,0.01,50.0,0
0.54,7,12,0.13,66.3,0
0.26,2,18,0.18,43.0,0
0.75,8,5,0.06,37.7,1
0.53,5,0,0.08,16.1,0
0.16,2,22,0.12,41.1,0
0.24,9,2,0.05,68.8,0
0.3,9,10,0.13,46.8,0
0.83,7,18,0.07,50.7,0
0.57,4,13,0.09,67.5,0
0.38,5,7,0.12,35.6,0
0.64,6,8,0.11,38.0,0
0.38,8,13,0.07,43.2,0
0.63,4,24,0.18,39.9,0
0.33,9,16,0.04,15.5,0
0.66,7,24,0.18,35.8,0
0.55,6,2,0.15,49.5,0
0.5,7,16,0.12,47.4,0
0.69,9,28,0.08,35.7,0
0.62,8,26,0.08,45.9,0
0.62,8,22,0.1,26.9,0
0.56,6,22,0.03,26.7,0
0.62,8,21,0.09,25.8,0
0.57,7,14,0.1,42.3,0
0.63,6,14,0.1,73.4,0
0.3,6,12,0.11,49.3,0
0.61,6,19,0.07,56.3,0
0.62,4,19,0.11,38.2,0
0.41,5,14,0.15,64.4,0
0.45,5,24,0.12,78.7,0
0.34,9,3,0.11,54.6,0
0.7,2,4,0.06,32.0,1
0.43,7,21,0.18,46.7,0
0.59,2,3,0.09,61.2,0
0.39,9,0,0.1,32.4,0
0.43,4,19,0.09,44.3,0
0.6,7,19,0.04,37.9,0
0.81,7,13,0.1,51.1,1
0.63,5,9,0.12,30.2,0
0.25,7,19,0.1,36.8,0
0.51,6,18,0.01,59.1,0
0.34,8,18,0.14,36.3,0
0.37,8,24,0.03,52.0,0
0.44,7,16,0.17,31.7,0
0.86,3,26,0.01,17.2,1
0.68,9,1,0.04,69.7,1
0.35,5,28,0.2,39.2,0
0.15,3,7,0.12,62.8,0
0.41,8,4,0.08,42.6,0
0.61,5,12,0.05,39.8,0
0.35,8,0,0.16,44.7,0
0.29,5,2,0.12,71.3,0
0.56,5,9,0.02,45.3,0
0.79,6,15,0.05,62.0,0
0.45,5,29,0.09,17.5,0
0.49,9,10,0.11,28.0,0
0.07,3,27,0.23,45.4,0
0.48,6,2,0.09,37.1,0
0.46,6,5,0.17,64.5,0
0.79,6,7,0.11,43.9,1
0.64,8,22,0.11,18.1,0
0.34,7,10,0.04,48.7,0
0.35,7,0,0.19,29.3,0
0.16,6,1,0.09,28.9,0
0.64,6,19,0.05,58.7,0
0.66,3,4,0.1,46.4,0
0.69,7,14,0.17,58.8,0
0.13,9,10,0.09,14.7,0
0.63,5,26,0.01,31.6,0
0.75,9,20,0.02,52.7,0
0.82,6,1,0.0,55.7,1
0.64,7,24,0.14,25.6,0
0.69,7,2,0.09,10.0,0
0.49,5,5,0.07,50.6,0
0.56,5,18,0.06,10.0,0
0.51,3,28,0.02,35.6,0
0.71,5,28,0.19,41.8,0
0.37,6,15,0.1,47.1,0
0.31,8,14,0.2,59.8,0
0.5,4,17,0.12,10.3,0
0.22,5,12,0.23,53.0,0
0.67,7,1,0.05,58.9,0
0.57,9,10,0.17,20.9,0
0.42,5,14,0.13,68.1,0
0.37,4,19,0.2,70.5,0
0.8,2,16,0.01,38.8,0
0.91,2,20,0.0,22.6,1
0.58,4,23,0.03,48.4,0
0.52,6,9,0.11,30.8,0
0.24,8,6,0.13,67.5,0
0.76,8,0,0.06,78.4,1
0.26,4,17,0.09,66.6,0
0.62,7,24,0.13,68.8,0
0.6,2,17,0.08,10.5,0
0.3,3,11,0.09,65.0,0
0.29,8,18,0.02,37.7,0
0.38,9,13,0.11,27.8,0
0.31,2,24,0.17,29.1,0
0.4,4,24,0.08,50.8,0
0.67,7,29,0.17,58.0,0
0.54,4,14,0.11,50.5,0
0.64,5,21,0.1,54.9,0
0.46,7,5,0.1,26.7,0
0.37,9,3,0.01,56.8,0
0.42,7,17,0.08,50.0,0
0.49,8,0,0.09,28.4,0
0.17,2,19,0.25,62.8,0
0.59,7,11,0.03,56.0,0
0.36,8,21,0.05,62.2,0
0.64,9,4,0.09,50.4,0
0.58,9,0,0.08,36.5,0
0.55,9,3,0.06,32.9,0
0.24,5,9,0.1,36.8,0
0.52,9,12,0.15,56.1,0
0.26,1,3,0.16,84.9,0
0.35,8,27,0.19,31.8,0
0.66,3,15,0.06,15.3,0
0.51,7,15,0.14,19.2,0
0.63,9,21,0.01,40.6,0
0.61,7,20,0.1,35.9,0
0.65,4,2,0.07,34.3,0
0.25,7,9,0.14,57.3,0
0.16,3,1,0.17,37.7,0
0.58,8,21,0.16,68.2,0
0.54,7,27,0.01,33.1,0
0.63,6,22,0.14,50.3,0
0.36,5,13,0.0,55.1,0
0.36,8,18,0.11,67.1,0
0.12,5,3,0.16,52.1,0
0.6,5,0,0.05,40.8,0
0.3,2,2,0.1,58.4,0
0.44,5,24,0.16,46.6,0
0.42,8,10,0.09,57.4,0
0.45,5,28,0.11,35.7,0
0.8,1,13,0.09,39.5,1
0.78,1,18,0.0,33.6,0
0.39,7,24,0.18,72.8,0
0.73,4,18,0.08,40.5,0
0.66,7,23,0.07,47.8,0
0.63,2,15,0.02,29.8,0
0.82,4,26,0.14,16.6,0
0.31,1,4,0.12,50.6,0
0.48,4,4,0.11,38.3,0
0.54,8,17,0.17,72.0,0
0.46,6,27,0.13,23.2,0
0.34,8,5,0.16,38.8,0
0.8,1,14,0.13,35.8,1
0.28,9,8,0.09,40.5,0
0.47,9,12,0.16,65.7,0
0.44,9,13,0.18,58.2,0
0.62,8,7,0.12,25.2,0
0.79,3,17,0.0,46.1,0
0.58,6,6,0.1,31.0,0
0.62,8,11,0.11,48.2,0
0.33,4,11,0.03,59.4,0
0.69,4,18,0.04,51.4,0
0.45,6,24,0.19,31.2,0
0.26,7,3,0.12,66.7,0
0.46,4,1,0.06,52.2,0
0.72,1,17,0.02,32.5,0
0.8,2,24,0.0,10.0,0
0.64,8,2,0.15,41.8,0
0.66,9,13,0.02,42.0,1
0.42,8,1,0.12,28.9,0
0.67,4,4,0.07,54.4,0
0.14,4,29,0.12,49.0,0
0.27,4,11,0.16,61.0,0
0.29,6,26,0.02,32.8,0
0.64,4,0,0.11,39.3,0
0.62,9,12,0.15,58.4,0
0.2,4,4,0.11,69.5,0
0.53,4,19,0.14,54.0,0
0.3,3,20,0.15,77.6,0
0.42,6,20,0.09,53.0,0
0.52,5,27,0.0,21.1,0
0.63,7,10,0.13,21.6,0
0.85,2,25,0.08,29.1,0
0.35,3,19,0.19,50.1,0
0.55,7,7,0.09,23.2,0
0.71,8,1,0.05,50.1,1
0.65,6,25,0.06,43.7,0
0.61,8,8,0.09,53.3,0
0.55,7,5,0.09,60.5,0
0.88,6,12,0.12,31.4,1
0.54,9,7,0.1,52.3,0
0.78,7,19,0.1,60.5,0
0.48,6,9,0.11,47.1,0
0.73,1,26,0.1,34.5,0
0.47,9,20,0.09,25.4,0
0.53,9,0,0.08,53.7,0
0.48,1,13,0.06,17.1,0
0.7,4,12,0.09,48.5,1
0.55,7,6,0.14,50.7,0
0.69,9,2,0.0,42.5,1
0.31,8,23,0.12,53.8,0
0.39,7,11,0.22,55.9,0
0.46,5,14,0.11,31.7,0
0.43,4,1,0.12,59.2,0
0.22,3,14,0.08,55.9,0
0.37,7,7,0.13,38.9,0
0.51,5,3,0.14,14.5,0
0.39,4,17,0.1,46.7,0
0.41,9,2,0.18,37.0,0
0.52,6,17,0.13,43.4,0
0.6,9,16,0.15,34.8,0
0.4,8,18,0.18,35.8,0
0.31,4,18,0.14,55.1,0
0.7,4,16,0.12,21.8,0
0.64,7,25,0.13,33.1,0
0.42,7,9,0.11,41.7,0
0.75,2,29,0.05,61.9,0
0.53,4,26,0.11,61.4,0
0.61,4,16,0.03,43.4,0
0.58,7,18,0.04,32.4,0
0.32,9,20,0.14,33.6,0
0.58,8,19,0.05,55.6,0
0.4,6,1,0.13,54.2,0
0.43,7,17,0.13,70.4,0
0.55,7,6,0.12,41.0,0
0.63,9,25,0.07,39.1,0
0.0,1,3,0.19,46.6,0
0.58,9,14,0.1,54.0,0
0.7,8,0,0.06,62.9,1
0.42,5,23,0.08,54.2,0
0.32,4,12,0.09,61.1,0
0.68,3,6,0.09,34.8,0
0.43,4,13,0.24,17.5,0
0.62,9,14,0.0,44.8,0
0.44,9,21,0.11,40.6,0
0.33,3,7,0.13,69.9,0
0.58,8,6,0.16,67.5,0
0.51,8,10,0.12,76.7,0
0.5,4,18,0.09,29.6,0
0.56,5,21,0.15,51.8,0
0.32,6,29,0.18,61.5,0
0.42,6,22,0.09,40.4,0
0.16,2,22,0.16,66.7,0
0.18,5,14,0.13,37.3,0
0.33,7,16,0.1,35.1,0
0.81,8,26,0.06,32.5,0
0.39,8,20,0.1,42.2,0
0.39,8,9,0.09,72.6,0
0.45,4,13,0.1,64.4,0
